pais,anio,grupo_edad,sexo,causa,causa_grupo,q_c
Belice,2015,40-44,Hombre,IX,Enfermedades del sistema circulatorio,6.015230467914211e-4
Belice,2015,40-44,Hombre,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",1.2005811856925841e-4
Belice,2015,40-44,Hombre,X,Enfermedades del sistema respiratorio,2.1439917747760514e-4
Belice,2015,40-44,Hombre,XI,Enfermedades del sistema digestivo,3.177317703321417e-4
Belice,2015,40-44,Hombre,XII,Enfermedades de la piel y del tejido subcutáneo,2.910833214038966e-6
Belice,2015,40-44,Hombre,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,1.4589363855324809e-5
Belice,2015,40-44,Hombre,XIV,Enfermedades del sistema genitourinario,1.6709057907619105e-5
Belice,2015,40-44,Hombre,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",9.791017699007524e-6
Belice,2015,40-44,Hombre,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",7.569308613034023e-6
Belice,2015,40-44,Hombre,XX,Causas externas de mortalidad,0.0014301195737074367
Belice,2015,40-44,Mujer,I,Enfermedades infecciosas y parasitarias,4.1824268527125607e-4
Belice,2015,40-44,Mujer,II,Tumores,6.860782777966237e-4
Belice,2015,40-44,Mujer,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,1.162403228556883e-5
Belice,2015,40-44,Mujer,IV,"Enfermedades endocrinas, nutricionales y metabólicas",1.1574073087875681e-4
Belice,2015,40-44,Mujer,IX,Enfermedades del sistema circulatorio,3.953957431644963e-4
Belice,2015,40-44,Mujer,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",2.946895889904424e-5
Belice,2015,40-44,Mujer,X,Enfermedades del sistema respiratorio,3.0208008883233047e-4
Belice,2015,40-44,Mujer,XI,Enfermedades del sistema digestivo,3.523449178918532e-5
Belice,2015,40-44,Mujer,XII,Enfermedades de la piel y del tejido subcutáneo,2.5908013496790396e-6
Belice,2015,40-44,Mujer,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,1.4836680225677673e-5
Belice,2015,40-44,Mujer,XIV,Enfermedades del sistema genitourinario,1.0975343444668611e-4
Belice,2015,40-44,Mujer,XV,"Embarazo, parto y puerperio",1.751356506544899e-5
Belice,2015,40-44,Mujer,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",9.53838305496066e-6
Belice,2015,40-44,Mujer,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",7.057717729401909e-6
Belice,2015,40-44,Mujer,XX,Causas externas de mortalidad,1.7275012496445762e-4
Belice,2015,45-49,Hombre,I,Enfermedades infecciosas y parasitarias,0.001328130185588348
Belice,2015,45-49,Hombre,II,Tumores,3.7571825346933047e-4
Belice,2015,45-49,Hombre,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,1.3863378774235241e-5
Belice,2015,45-49,Hombre,IV,"Enfermedades endocrinas, nutricionales y metabólicas",6.041600470133704e-4
Belice,2015,45-49,Hombre,IX,Enfermedades del sistema circulatorio,0.0010458000619631262
